source,dataset,question_id,paraphrase_index,semantic_equivalence,answer_invariance,information_preservation,min_score,passed,rationale,original_question,paraphrase
gpt4o,mmlu,11179,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Augustine identifies evil with:,"According to Augustine, what does he equate with evil?"
gpt4o,mmlu,6455,1,4,5,5,4,1,The paraphrase maintains the original meaning and correct answer with minor wording changes.,"Insulin deficiency is associated with
",Which process is related to insulin insufficiency?
gpt4o,mmlu,4631,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all task-relevant information.","Calculate ∆H°_r for the combustion of methane, CH_4. The balanced reaction is CH_4(g) + 2O_2(g) \rightarrow CO_2(g) + 2H_2O(l) ∆H°_f in Kcal/mole = -17.89 , 0 , - 94.05 , 2(-68.32)","What is the value of ∆H°_r for the combustion of methane, CH_4, given the following balanced chemical equation: CH_4(g) + 2O_2(g) → CO_2(g) + 2H_2O(l)? Use these ∆H°_f values in Kcal/mole: -17.89, 0, -94.05, 2(-68.32)."
gpt4o,mmlu,12161,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all task-relevant information.","(a) A 4-pole machine has lap winding with 36 winding elements. What are the back and front pitches of this winding, expressed in commutator bars? (b) A 4-pole machine has wave winding with 37 winding elements. What are the three pitches of this winding expressed in commutator bars?","In a 4-pole machine with lap winding made up of 36 elements, what are the back and front pitches in commutator bars? Furthermore, for a 4-pole machine having wave winding with 37 winding elements, what are the three pitches in commutator bars?"
gpt4o,mmlu,5658,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all task-relevant information.",In what ways is it possible to gain a definition of terrorism?,What are the various methods to obtain a definition of terrorism?
gpt4o,mmlu,5525,0,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.",Which of the following events INITIATES puberty?,Which event triggers the onset of puberty?
gpt4o,mmlu,3235,2,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.","From a patch of garden peas, a random sampling of 13 plants is made. Their height in centimetres is as follows: 161183177157181176180 162163174179169187 Calculate: (a)themean;(b) the median;(c) the mode; (d)thevariance;(e) the standard deviation.","From a group of garden peas, randomly select 13 plants and measure their heights in centimeters: 161, 183, 177, 157, 181, 176, 180, 162, 163, 174, 179, 169, 187. Compute: (a) the mean; (b) the median; (c) the mode; (d) the variance; (e) the standard deviation."
gpt4o,mmlu,6535,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,How is malignant hyperthermia (hyperpyrexia) genetically inherited?
gpt4o,mmlu,5061,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all task-relevant information.","As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?","As the only public relations worker for a public transit agency, you are responsible for increasing the monthly number of bus riders. Your target audience consists of those with lower incomes, college students, people with basic education, and individuals who speak English as a second language. What step should you take first when formulating a primary message?"
gpt4o,mmlu,2820,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Mouse sperm contain receptor proteins that bind to a glycoprotein (ZP3) in the zona pellucida of mouse eggs. Binding of ZP3 receptors to ZP3 initiates the sperm’s acrosomal reaction. All of the following experimental observations would be expected EXCEPT:,"Which of the following experimental findings would NOT be expected, given that mouse sperm have receptor proteins that attach to ZP3 glycoprotein in the zona pellucida of mouse eggs, triggering the acrosomal reaction?"
gpt4o,mmlu,76,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information."," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?","In Pine and Gilmore's 1999 work, which two dimensions are used to define the four unique realms of experience?"
gpt4o,mmlu,7033,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",If a bank has $500 in checking deposits and the bank is required to reserve $50 what is the reserve ratio? How much does the bank have in excess reserves?,"A bank has $500 in checking deposits and must hold $50 as reserves. What is the reserve ratio, and how much are the bank's excess reserves?"
qwen,arc,Mercury_7159303,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","As glaciers receded at the end of the last Ice Age, temperatures increased, allowing lakes to form. Pioneer plants grew in the dunes near the lakes. Farther from the dunes, grasslands and forested areas developed. Which process took place after the glaciers melted, allowing grasslands and forests to develop?","The melting of glaciers at the end of the last Ice Age led to increased temperatures and the formation of lakes. Pioneer plants established themselves in the dunes close to the lakes, while grasslands and forests developed in more distant areas. What process took place after the glaciers melted, allowing the growth of grasslands and forests?"
qwen,arc,Mercury_400084,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",An unbalanced equation for the reaction of methane gas (CH_{4}) with oxygen is shown below. CH_{4} + \Box O_{2} -> 2CO_{2} + 4H_{2}O How many molecules of oxygen gas (O_{2}) are needed to properly balance this equation?,"To balance the chemical equation CH_{4} + \Box O_{2} -> 2CO_{2} + 4H_{2}O, how many molecules of oxygen gas (O_{2}) are necessary?"
qwen,arc,Mercury_7012880,2,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.",A student is dissolving sugar in water to make candy. She notices that sugar lumps are forming at the bottom of the pan. What could she do to help more of the sugar dissolve?,"In the process of making candy, a student notices that sugar is forming lumps at the bottom of the pan. What method can she use to help more sugar dissolve in the water?"
qwen,arc,Mercury_7043820,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","When cold temperatures are produced in a chemical reaction, the reaction is known as","If a chemical reaction results in the production of cold, it is referred to as"
qwen,arc,MEA_2010_8_15,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Which process is the best example of a sudden change to Earth's surface?,Which phenomenon exemplifies a rapid alteration to the Earth's surface?
qwen,arc,Mercury_184730,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Two organisms mate and produce offspring. Which of the following statements best explains why the offspring are unable to reproduce?,"When two organisms produce offspring, which of the following best explains why the offspring cannot reproduce?"
qwen,arc,TAKS_2009_5_36,1,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.","When a dog sees a cat, a message travels from the dog's eyes to the dog's","Upon seeing a cat, a message is sent from the dog's eyes to the dog's"
qwen,arc,Mercury_7071523,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Students use tweezers and magnifying glasses to examine a piece of mold on bread. Which should they also use for safety in this investigation?,"While examining a piece of mold on bread using tweezers and a magnifying glass, what additional safety equipment should the students use?"
qwen,arc,Mercury_SC_402257,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Which material is the best heat insulator?,Which of these materials is the superior heat insulator?
qwen,arc,MCAS_2014_5_15,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Temperature changes along the coast are usually less extreme than temperature changes farther inland. Which of the following statements best explains why?,What is the best explanation for why coastal areas experience less extreme temperature changes than inland regions?
qwen,arc,Mercury_401912,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",One parent has brown eyes (BB) and has offspring with another parent who has blue eyes (bb). What is the probability that one of their children will have blue eyes?,What is the likelihood that a child will have blue eyes when one parent has brown eyes (BB) and the other has blue eyes (bb)?
qwen,arc,AIMS_2009_8_14,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Bromine (Br) is a liquid at room temperature. Oxygen (O) is a gas at room temperature. Room temperature is 25° C. Which of the following statements is true?,"Considering that bromine is in a liquid state and oxygen is in a gaseous state at 25°C, which statement is correct?"
qwen,arc,Mercury_SC_401277,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Some marine organisms living deep in the ocean can produce their own light. The light they produce is most likely used for which of these activities?,Deep-dwelling marine organisms that can create their own light do so primarily for what activity?
qwen,mmlu,2191,0,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.",Explain the terms fixation and regression as used by Freud in his descriptions of human development.,Define the concepts of fixation and regression as they are utilized by Freud in his theory of human development.
qwen,mmlu,5285,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","According to Macnamara's (2005) pyramid of evaluation, at which stage are opinion polls most useful?","In Macnamara's (2005) pyramid of evaluation, during which stage are opinion polls considered most beneficial?"
qwen,mmlu,461,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",What is the rate of return on a 5(1/2) % preferred stock having a par value of $50 and selling for 52(3/4). Give answer to nearest (1 / 10)%.,"Calculate the rate of return on a preferred stock that has a 5(1/2) % dividend, a par value of $50, and is currently selling for 52(3/4). Provide the answer to the nearest (1 / 10)%."
qwen,mmlu,11148,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","According to Kant, the moral worth of an action depends on:",Kant argues that the ethical significance of an action is based on:
qwen,mmlu,8705,1,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",The maximum number of acute angles in a convex 10-gon in the Euclidean plane is,What is the highest number of acute angles that can be present in a convex decagon in the Euclidean plane?
qwen,mmlu,5209,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Which of the following statements could be described as a liberal perspective on future energy security?,Which of the following could be seen as a liberal viewpoint on the security of future energy resources?
qwen,mmlu,7033,0,5,5,5,5,1,"The paraphrase perfectly preserves the original meaning, correct answer, and all relevant information.",If a bank has $500 in checking deposits and the bank is required to reserve $50 what is the reserve ratio? How much does the bank have in excess reserves?,What is the reserve ratio for a bank with $500 in checking deposits and a reserve requirement of $50? How much does the bank have in excess reserves?
qwen,mmlu,2285,2,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.",Research reveals that the most critical factor in Type A behavior associated with heart disease is,Research indicates that the key factor in Type A behavior related to heart disease is
qwen,mmlu,11196,2,5,5,5,5,1,"The paraphrase perfectly preserves the original meaning, correct answer, and all relevant information.", The retributive theory of punishment does not claim that,The retributive theory of punishment does not maintain that
qwen,mmlu,3964,1,5,5,5,5,1,"The paraphrase maintains the original meaning, correct answer, and all relevant information.","At a constant pressure and a temperature of - 10°C, water freezes. Calculate the heat evolved in the process. H_2O(l) = H_2O (s) Given the following: \DeltaH_273 = - 79.7 cal g^-1 CP, -(H)2 O (l)= 1.00 cal K^-1 g^-1 and CP, (H)2 O(s)= 0.49 cal K^-1g^-1","Determine the heat evolved when water freezes at a constant pressure and -10°C. Use the following data: H_2O(l) = H_2O(s), \DeltaH_273 = -79.7 cal g^-1, CP, -(H_2O(l)) = 1.00 cal K^-1 g^-1, and CP, (H_2O(s)) = 0.49 cal K^-1 g^-1"
qwen,mmlu,6396,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Which of the following parameters are seen on typical neurological observation charts?,Which of the following parameters are typically recorded on neurological observation charts?
qwen,mmlu,12012,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all task-relevant information.","y_11 = 0.25 mho, y_12 = - 0.05 mho, y_22 = 0.1 mho. Find the z-parameters.","Find the z-parameters for the given admittance parameters: y_11 = 0.25 mho, y_12 = -0.05 mho, and y_22 = 0.1 mho."
